1,Bob_the_Dog,,Yak's_Bend,19,5,24,4,21,6,16,8,26,2,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119
2,Elmer_Fudd,,Sea_of_Sorrows,15,9,28,2,18,9,13,11,16,8,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112
2,Wally_West,,Underworld,16,8,29,1,18,9,18,6,23,3,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112
3,Wonder_Woman,,Underworld,17,7,24,4,15,11,21,4,14,9,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109
4,Batgirl,,Ruins_of_Surmia,18,6,16,12,23,4,22,3,18,6,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
5,Vic_Sage,,Underworld,21,3,23,5,10,14,17,7,20,5,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
6,Barbara_Gordon,,Ruins_of_Surmia,11,12,28,2,15,11,21,4,9,12,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
6,Beyond_Justice,,Underworld,,,,,19,8,23,2,28,1,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
7,Eric_Cartman,,Sanctum_of_Rall,13,10,18,10,8,16,19,5,21,4,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
8,Blue_Beetle,,Ruins_of_Surmia,9,14,19,9,22,5,14,10,12,11,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
9,We_Are_Bob,,Yak's_Bend,24,2,16,12,22,5,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
10,Batman,,Tarnished_Coast,,,,,27,3,25,1,14,9,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86
11,Daffy_Duck,,Ruins_of_Surmia,11,12,27,3,7,17,14,10,14,9,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
12,Riker,,Yak's_Bend,20,4,22,6,13,13,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
13,Donald_Duck,,Kodash,12,11,15,13,32,1,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
14,Tim_Drake,,Underworld,10,13,16,12,17,10,8,12,14,9,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
15,Tigger,,Riverside,11,12,10,17,28,2,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67
16,Marge_Simpson,,Stormbluff_Isle,,,,,14,12,17,7,17,7,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
16,The_Joker,,Blackgate,12,11,21,7,15,11,4,13,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66
17,Homer,,Yak's_Bend,13,10,16,12,18,9,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64
18,Fred_Flintstone,,Maguuma,20,4,12,16,13,13,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
18,Stitch!,,Ring_of_Fire,8,15,14,14,22,5,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
18,Superman,,Piken_Square,11,12,20,8,20,7,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
19,Kvothe,,Yak's_Bend,17,7,17,11,9,15,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
20,Legion,,Yak's_Bend,8,15,18,10,18,9,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
21,Khan,,Yak's_Bend,2,16,13,15,15,11,18,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48
22,Sylvester,,Henge_of_Denravi,25,1,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
23,Maggie_Simpson,,Sorrow's_Furnace,,,,,10,14,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
24,Pink_Panther,,Miller's_Sound,21,3,12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
25,Pepe_Le_Pew,,Vizunah_Square,,,,,,,,,13,10,19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
26,The_Hulk,,Seafarer's_Rest,,,,,15,11,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
27,Piglet,,Whiteside_Ridge,,,,,,,,,23,3,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
28,Chip_'n'_Dale,,Vabbi,,,,,,,,,8,13,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
29,Bart_Simpson,,Yak's_Bend,,,,,,,,,13,10,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
30,Nite_Hawk,,Kaineng,11,12,8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
31,Homer_Simpson,,Northern_Shiverpeaks,,,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
