1,Bob_the_Dog,,Yak's_Bend,6,15,24,4,5,14,14,11,31,1,20,5,,,,,,,,,,,,,,,,,,,,,,,17,4,16,3,21,3,23,1,20,4,10,9,22,5,229
2,Khan,,Yak's_Bend,16,9,15,12,24,1,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,5,16,5,16,9,134
3,Legion,,Yak's_Bend,15,10,24,4,18,5,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3,27,2,125
4,Riker,,Yak's_Bend,20,5,20,7,12,10,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,8,12,7,24,3,120
4,Shiny!,,Anvil_Rock,,,,,,,,,,,,,18,1,19,1,8,2,21,2,20,1,17,1,17,2,,,,,,,,,,,,,,,,,,,,,,,120
5,Barbara_Gordon,,Ruins_of_Surmia,14,11,18,9,19,4,22,5,16,6,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114
5,Skritt_Forager,,Abaddon's_Mouth,,,,,,,,,,,,,13,2,12,2,18,1,25,1,13,2,15,2,18,1,,,,,,,,,,,,,,,,,,,,,,,114
6,Eric_Cartman,,Sanctum_of_Rall,21,4,26,3,17,6,16,9,19,3,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113
6,Goofy,,Drakkar_Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,6,16,2,26,1,24,1,13,5,22,2,,,,,,,,,113
7,Wally_West,,Underworld,13,12,16,11,17,6,23,4,17,5,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112
8,Homer,,Yak's_Bend,12,13,16,11,10,12,17,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,11,8,18,7,106
9,Batgirl,,Ruins_of_Surmia,11,14,30,2,19,4,11,14,17,5,16,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
10,Sylvester,,Henge_of_Denravi,23,3,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,9,9,6,11,13,11,103
10,We_Are_Bob,,Yak's_Bend,18,7,17,10,11,11,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,12,12,103
11,Daffy_Duck,,Ruins_of_Surmia,25,2,18,9,11,11,16,9,19,3,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
11,Tim_Drake,,Underworld,14,11,20,7,17,6,14,11,9,10,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
12,Donald_Duck,,Kodash,11,14,24,4,14,8,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6,12,12,96
13,Wonder_Woman,,Underworld,14,11,23,5,15,7,21,6,10,9,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94
