1,biot.4721,Gandara,,,,,,,,,,,,,12,1,,18,2,,25,1,,46,1,,5,1,,19,1,,10,1,,43,1,,178
2,Legion,Yak's_Bend,,,,,,,,,,5,2,,2,5,,5,7,,,,,6,6,,2,,,6,,,4,,,9,,,39
3,We_Are_Bob,Yak's_Bend,,,,,,,2,4,,3,3,,4,3,,,,,1,7,,5,7,,2,,,10,,,3,,,5,,,35
4,Fred_Flintstone,Maguuma,,,,,,,,,,5,2,,2,5,,6,6,,4,4,,5,7,,5,1,,4,,,1,,,2,,,34
5,Bob_the_Dog,Yak's_Bend,,,,,,,2,4,,5,2,,2,5,,7,5,,2,6,,2,10,,2,,,5,,,,,,1,,,28
5,Daffy_Duck,Ruins_of_Surmia,,,,,,,,,,,,,2,5,,1,11,,4,4,,8,4,,,,,,,,4,,,9,,,28
5,Tim_Drake,Underworld,,,,,,,,,,,,,3,4,,6,6,,4,4,,5,7,,4,,,3,,,,,,3,,,28
6,Nite_Owl,Jade_Sea,,,,,,,3,3,,7,1,,,,,2,10,,4,4,,3,9,,4,,,3,,,,,,,,,26
7,Donald_Duck,Kodash,,,,,,,4,2,,,,,,,,5,7,,3,5,,5,7,,,,,,,,3,,,5,,,25
7,Homer,Yak's_Bend,,,,,,,4,2,,2,4,,,,,4,8,,1,7,,5,7,,1,,,5,,,,,,3,,,25
7,Tigger,Riverside,,,,,,,,,,,,,3,4,,4,8,,,,,5,7,,,,,4,,,,,,9,,,25
8,Elmer_Fudd,Sea_of_Sorrows,,,,,,,,,,,,,3,4,,5,7,,5,3,,,,,,,,4,,,,,,4,,,21
8,Riker,Yak's_Bend,,,,,,,,,,5,2,,3,4,,6,6,,3,5,,,,,,,,2,,,2,,,,,,21
8,Stitch!,Ring_of_Fire,,,,,,,,,,,,,,,,4,8,,3,5,,7,5,,,,,4,,,2,,,1,,,21
8,Sylvester,Henge_of_Denravi,,,,,,,3,3,,5,2,,4,3,,4,8,,1,7,,,,,2,,,1,,,1,,,,,,21
9,Blue_Beetle,Ruins_of_Surmia,,,,,,,,,,,,,,,,7,5,,,,,,,,2,,,9,,,,,,2,,,20
9,Kvothe,Yak's_Bend,,,,,,,,,,,,,,,,6,6,,3,5,,5,7,,,,,2,,,,,,4,,,20
9,Tasmanian_Devil,Gunnar's_Hold,,,,,,,2,4,,,,,2,5,,6,6,,3,5,,5,7,,,,,,,,2,,,,,,20
10,Khan,Yak's_Bend,,,,,,,4,2,,2,4,,,,,,,,4,4,,5,7,,3,,,1,,,,,,,,,19
10,Superman,Piken_Square,,,,,,,,,,,,,2,5,,5,7,,4,4,,,,,,,,5,,,,,,3,,,19
10,Wonder_Woman,Underworld,,,,,,,,,,,,,4,3,,,,,1,7,,7,5,,,,,4,,,3,,,,,,19
11,Batgirl,Ruins_of_Surmia,,,,,,,,,,,,,,,,,,,,,,,,,1,,,6,,,5,,,4,,,16
11,Eric_Cartman,Sanctum_of_Rall,,,,,,,,,,,,,,,,7,5,,2,6,,3,9,,1,,,3,,,,,,,,,16
11,Nite_Hawk,Kaineng,,,,,,,3,3,,2,4,,,,,1,11,,,,,5,7,,,,,,,,5,,,,,,16
12,Barbara_Gordon,Ruins_of_Surmia,,,,,,,,,,,,,2,5,,,,,,,,,,,1,,,9,,,,,,2,,,14
12,Wally_West,Underworld,,,,,,,,,,,,,2,5,,6,6,,,,,4,8,,,,,,,,1,,,1,,,14
13,Vic_Sage,Underworld,,,,,,,,,,,,,1,6,,5,7,,,,,,,,,,,2,,,,,,4,,,12
14,Pink_Panther,Miller's_Sound,,,,,,,,,,,,,3,4,,,,,,,,2,10,,4,,,1,,,,,,,,,10
15,Mario,Gate_of_Madness,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
16,Homer_Simpson,Northern_Shiverpeaks,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,4
17,Minnie_Mouse,Ferguson's_Crossing,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
18,Bart,Jade_Quarry,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
19,Barney_Rubble,Gandara,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
